Idle state, waiting for transmission to start.
Idle state, waiting for transmission to start.
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
Sleeping 1.400000 seconds, protocol to start transmitting. 
[2018-11-05 23:29:27,282] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:29:27,282] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:29:27,517] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:29:27,523] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:29:27,533] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:32:28,106] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:32:28,106] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:32:28,196] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:32:28,201] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:32:28,865] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:32:31,042] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:32:31,391] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:32:31,392] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:32:31,397] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:32:31,628] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:32:31,634] - [Receiver] - [INFO] - Receiver has been restarted, getting audio data.
[2018-11-05 23:32:31,667] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:36:18,055] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:36:18,056] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:36:18,108] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:36:18,115] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:36:18,639] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:36:22,860] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:42:25,726] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:42:25,727] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:42:25,772] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:42:25,772] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:42:26,971] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:42:27,227] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:43:31,050] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:43:31,051] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:43:31,155] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:43:31,161] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:43:31,806] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:43:33,859] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:44:06,771] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:44:06,772] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:44:06,829] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:44:06,836] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:44:07,462] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:44:08,047] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:44:44,016] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:44:44,016] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:44:44,202] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:44:44,220] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:44:44,748] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:44:45,455] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:45:13,785] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:45:13,785] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:45:13,871] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:45:13,879] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:45:14,465] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:45:17,865] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:45:51,674] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:45:51,674] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:45:51,756] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:45:51,767] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:45:52,319] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:45:54,506] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:45:57,312] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-05 23:57:52,510] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:57:52,511] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:57:52,635] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-05 23:57:52,635] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-05 23:57:52,996] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-05 23:57:55,155] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:05:11,775] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:05:11,775] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:05:11,926] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:05:11,928] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:05:12,291] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:05:14,503] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:06:00,778] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:06:00,779] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:06:00,843] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:06:00,849] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:06:01,287] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:06:03,411] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:06:53,810] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:06:53,811] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:06:53,863] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:06:53,869] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:06:54,143] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:07:01,681] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:07:33,275] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:07:33,278] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:07:33,319] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:07:33,323] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:07:33,707] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:07:35,507] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:08:50,347] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:08:50,348] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:08:50,422] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:08:50,452] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:08:50,729] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:08:53,744] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:09:15,485] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:09:15,485] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:09:15,571] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:09:15,583] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:09:15,943] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:09:16,705] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:12:08,828] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:12:08,829] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:12:08,903] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:12:08,903] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:12:09,293] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:12:11,989] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:16:22,668] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:16:22,670] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:16:22,751] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:16:22,758] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:16:23,042] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:16:25,193] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:16:55,253] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:16:55,253] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:16:55,348] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:16:55,348] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:16:55,729] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:16:57,421] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:17:14,818] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:20:33,022] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:20:33,023] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:20:33,123] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
[2018-11-06 00:20:33,137] - [Receiver] - [INFO] - Timing 1.400000 seconds, in order to start the transmitting protocol.
[2018-11-06 00:20:33,578] - [Receiver] - [INFO] - Receiver has been paused, not getting any audio data.
[2018-11-06 00:20:35,742] - [Receiver] - [INFO] - Shutting down physical layer.
[2018-11-06 00:25:20,046] - [Receiver] - [INFO] - Idle state, waiting for transmission to start.
